Problem: 0, Score: 6777, PowerScore: 0, Rank: 5
Problem: 1, Score: 800, PowerScore: 0, Rank: 35
Problem: 2, Score: 10398, PowerScore: 0, Rank: 2
Problem: 3, Score: 8102, PowerScore: 0, Rank: 1
Problem: 4, Score: 8406, PowerScore: 0, Rank: 6
Problem: 5, Score: 6091, PowerScore: 0, Rank: 1
Problem: 6, Score: 9901, PowerScore: 0, Rank: 4
Problem: 7, Score: 5194, PowerScore: 0, Rank: 2
Problem: 8, Score: 5958, PowerScore: 0, Rank: 32
Problem: 9, Score: 2205, PowerScore: 0, Rank: 17
Problem: 10, Score: 2400, PowerScore: 0, Rank: 24
Problem: 11, Score: 2580, PowerScore: 0, Rank: 4
Problem: 12, Score: 8394, PowerScore: 0, Rank: 2
Problem: 13, Score: 1882, PowerScore: 0, Rank: 3
Problem: 14, Score: 54490, PowerScore: 0, Rank: 4
Problem: 15, Score: 3498, PowerScore: 0, Rank: 6
Problem: 16, Score: 8298, PowerScore: 0, Rank: 2
Problem: 17, Score: 1400, PowerScore: 0, Rank: 24
Problem: 18, Score: 7514, PowerScore: 0, Rank: 6
Problem: 19, Score: 1300, PowerScore: 0, Rank: 26
Problem: 20, Score: 1744, PowerScore: 0, Rank: 26
Problem: 21, Score: 620, PowerScore: 0, Rank: 26
Problem: 22, Score: 2600, PowerScore: 0, Rank: 27
Problem: 23, Score: 130, PowerScore: 0, Rank: 55
Problem: 24, Score: 0, PowerScore: 0, Rank: 52
