Problem: 0, Score: 7335 (max: 7615), PowerScore: 5, Rank: 5
Problem: 1, Score: 3702 (max: 5092), PowerScore: 2, Rank: 16
Problem: 2, Score: 10565 (max: 10565), PowerScore: 5, Rank: 1
Problem: 3, Score: 8619 (max: 8619), PowerScore: 5, Rank: 1
Problem: 4, Score: 9352 (max: 16091), PowerScore: 5, Rank: 5
Problem: 5, Score: 6251 (max: 6251), PowerScore: 5, Rank: 1
Problem: 6, Score: 11036 (max: 11036), PowerScore: 5, Rank: 1
Problem: 7, Score: 5486 (max: 5486), PowerScore: 5, Rank: 1
Problem: 8, Score: 11808 (max: 15932), PowerScore: 4, Rank: 16
Problem: 9, Score: 2768 (max: 19896), PowerScore: 3, Rank: 13
Problem: 10, Score: 5828 (max: 6016), PowerScore: 4, Rank: 4
Problem: 11, Score: 3026 (max: 3423), PowerScore: 4, Rank: 4
Problem: 12, Score: 9060 (max: 9939), PowerScore: 5, Rank: 2
Problem: 13, Score: 1920 (max: 2082), PowerScore: 5, Rank: 3
Problem: 14, Score: 54490 (max: 92760), PowerScore: 5, Rank: 7
Problem: 15, Score: 3846 (max: 5022), PowerScore: 5, Rank: 10
Problem: 16, Score: 8998 (max: 9390), PowerScore: 5, Rank: 2
Problem: 17, Score: 4686 (max: 7584), PowerScore: 2, Rank: 19
Problem: 18, Score: 7514 (max: 26556), PowerScore: 5, Rank: 8
Problem: 19, Score: 4572 (max: 7070), PowerScore: 2, Rank: 18
Problem: 20, Score: 5856 (max: 6900), PowerScore: 4, Rank: 6
Problem: 21, Score: 1390 (max: 1586), PowerScore: 2, Rank: 9
Problem: 22, Score: 7158 (max: 7158), PowerScore: 4, Rank: 1
Problem: 23, Score: 802 (max: 5312), PowerScore: 2, Rank: 28
Problem: 24, Score: 139434 (max: 218322), PowerScore: 5, Rank: 6
